dataset,seed,batch,domain_auc,threshold,mean_density_weight,min_density_weight,median_density_weight,max_density_weight,low_clip_fraction,high_clip_fraction
AI4I,17,29,0.9999687656171914,0.05408218736233905,1.2553840436327433,0.05,0.60258368392265,11.809978432134224,0.001,0.0
AI4I,17,30,0.996723297510404,0.06308047543787483,1.5069550221078654,0.05,0.7202671718165673,17.99178677099271,0.01,0.0
AI4I,17,31,0.9929268109718326,0.06718493359409769,1.606473355650738,0.05,0.8018887593201989,14.916398226111362,0.0015,0.0
AI4I,17,32,1.0,0.060602186779385316,1.4306208212067077,0.05,0.6557214683886545,14.333322946223536,0.011,0.0
AI4I,17,33,1.0,0.060017262706077476,1.4122551793848765,0.05,0.6448869424870487,16.03126517088861,0.008,0.0
AI4I,17,34,1.0,0.060602186779385316,1.345933422067944,0.05,0.6292183975065198,13.375454472011201,0.0085,0.0
AI4I,17,35,1.0,0.05909892083265762,1.2172552577282352,0.05,0.6039921655184183,12.737190254759502,0.003,0.0
AI4I,17,36,1.0,0.06242029797233485,1.1436926205984133,0.06319331224802575,0.5830881321358508,11.396929955688575,0.0,0.0
AI4I,17,37,1.0,0.05408218736233905,1.2900257174390959,0.05,0.6002856627045722,14.281071470058757,0.001,0.0
AI4I,17,38,1.0,0.03333234125531448,1.1238077725962285,0.06958698185969908,0.5663839575795218,10.78358425742577,0.0,0.0
AI4I,17,39,1.0,0.03333234125531448,1.1021560921956701,0.06393542369741675,0.5400475975059136,8.437429513423174,0.0,0.0
AI4I,27,0,0.9303690375709514,0.07481502617493029,1.719762153768088,0.12386242148299963,1.197000101877424,13.718421826559688,0.0,0.0
AI4I,27,1,0.9053447408516196,0.06874595025889142,1.7070827326526812,0.20030754915041235,1.0465270072092405,6.9190358521563,0.0,0.0
AI4I,27,2,0.9281729255492374,0.0683120368541699,1.70282954233161,0.12606505708025995,1.1186730890710193,9.299538358260254,0.0,0.0
AI4I,27,3,0.9930607033526163,0.06874595025889142,1.6407898808981027,0.05,0.8470824269236734,12.51461990362208,0.0065,0.0
AI4I,27,4,1.0,0.06705065706298845,1.4430464812930242,0.05,0.6721324022506128,17.274985235663934,0.02,0.0
AI4I,27,5,1.0,0.05998682890061927,1.3577439811813528,0.05,0.6518105116710043,12.77567416740684,0.0185,0.0
AI4I,27,6,1.0,0.0628571700597556,1.283392208022762,0.05,0.6231610258654278,15.65694386031808,0.003,0.0
AI4I,27,7,1.0,0.061580467664430524,1.2723888453567354,0.05,0.6054757540678113,15.519379739811983,0.0055,0.0
AI4I,27,8,1.0,0.06422584984094114,1.2677481825227925,0.05,0.6319279521175405,12.041923882744088,0.004,0.0
AI4I,27,9,1.0,0.05998682890061927,1.1997725237562322,0.05,0.608687193929747,12.97905157767975,0.004,0.0
AI4I,27,10,1.0,0.04761066779272205,1.1653533418216544,0.05139556896300336,0.5949224275439071,11.340500206732148,0.0,0.0
AI4I,27,11,1.0,0.040380926620678936,1.022184782175904,0.08842048380083084,0.60151032225147,7.427731389737123,0.0,0.0
AI4I,27,12,1.0,0.04761066779272205,0.9777258239459938,0.09636625145673633,0.6066212281741092,6.4271334410384835,0.0,0.0
AI4I,27,13,1.0,0.04761066779272205,0.9670204313288691,0.1051704982394694,0.615495862831263,6.30597254429895,0.0,0.0
AI4I,27,14,1.0,0.04761066779272205,0.9609477450340821,0.10042656573628642,0.6185124998486298,6.1512665920949665,0.0,0.0
AI4I,27,15,1.0,0.04761066779272205,0.9796389355552118,0.09954957088661015,0.6073827691361255,6.888280266022044,0.0,0.0
AI4I,27,16,1.0,0.04761066779272205,0.971971671267521,0.10321549834187665,0.6157721426365083,6.696440433604885,0.0,0.0
AI4I,27,17,1.0,0.04761066779272205,1.0343381137574275,0.06886229963621424,0.6033024874183259,8.721346585758926,0.0,0.0
AI4I,27,18,1.0,0.04761066779272205,0.9591367180488283,0.110793917891079,0.613933901574233,6.564197283176789,0.0,0.0
AI4I,27,19,1.0,0.04761066779272205,0.9377053612906942,0.12493026419826234,0.6062541466019169,5.627358676231582,0.0,0.0
AI4I,27,20,1.0,0.040380926620678936,0.9579415886017836,0.1096276023498912,0.6082296141951005,6.121292225339272,0.0,0.0
AI4I,27,21,1.0,0.04761066779272205,0.9490039255607614,0.11695844112233492,0.6072560041170504,5.938428979886616,0.0,0.0
AI4I,27,22,1.0,0.04761066779272205,0.9848946991671849,0.09257442181522307,0.604213688617439,6.857131017176994,0.0,0.0
AI4I,27,23,1.0,0.04761066779272205,1.0205492035601416,0.08296341510253603,0.6001152198280748,7.836269649558776,0.0,0.0
AI4I,27,24,1.0,0.040380926620678936,1.0617697687708878,0.07278341123713204,0.5915079349053005,8.828105982609992,0.0,0.0
AI4I,27,25,1.0,0.04761066779272205,1.0928319113616525,0.06562069876548902,0.5824502293211931,9.898703238401295,0.0,0.0
AI4I,27,26,1.0,0.040380926620678936,1.1349017986264494,0.06214526739761052,0.572523191895507,9.674749543732268,0.0,0.0
AI4I,27,27,1.0,0.040380926620678936,1.0180111452525773,0.08955764806522241,0.5939911319924059,7.6020849644524935,0.0,0.0
AI4I,27,28,1.0,0.04761066779272205,1.0484735381096983,0.08130567664960288,0.5882208812682426,8.987547277543285,0.0,0.0
AI4I,27,29,0.9999687656171914,0.04761066779272205,1.2553840436327433,0.05,0.60258368392265,11.809978432134224,0.001,0.0
AI4I,27,30,0.9970879689990723,0.06416493103802597,1.5069550221078654,0.05,0.7202671718165673,17.99178677099271,0.01,0.0
AI4I,27,31,0.9925268939015742,0.06752165669577698,1.606473355650738,0.05,0.8018887593201989,14.916398226111362,0.0015,0.0
AI4I,27,32,1.0,0.05998682890061927,1.4306208212067077,0.05,0.6557214683886545,14.333322946223536,0.011,0.0
AI4I,27,33,1.0,0.05867375005354921,1.4122551793848765,0.05,0.6448869424870487,16.03126517088861,0.008,0.0
AI4I,27,34,1.0,0.06112945479013592,1.345933422067944,0.05,0.6292183975065198,13.375454472011201,0.0085,0.0
AI4I,27,35,1.0,0.056896121791213075,1.2172552577282352,0.05,0.6039921655184183,12.737190254759502,0.003,0.0
AI4I,27,36,1.0,0.06379532492234899,1.1436926205984133,0.06319331224802575,0.5830881321358508,11.396929955688575,0.0,0.0
AI4I,27,37,1.0,0.04761066779272205,1.2900257174390959,0.05,0.6002856627045722,14.281071470058757,0.001,0.0
AI4I,27,38,1.0,0.040380926620678936,1.1238077725962285,0.06958698185969908,0.5663839575795218,10.78358425742577,0.0,0.0
AI4I,27,39,1.0,0.040380926620678936,1.1021560921956701,0.06393542369741675,0.5400475975059136,8.437429513423174,0.0,0.0
AI4I,37,0,0.9326966915323472,0.07749340910207782,1.719762153768088,0.12386242148299963,1.197000101877424,13.718421826559688,0.0,0.0
AI4I,37,1,0.8766365194456296,0.07306374724709343,1.7070827326526812,0.20030754915041235,1.0465270072092405,6.9190358521563,0.0,0.0
AI4I,37,2,0.9340422473359681,0.07255969381839349,1.70282954233161,0.12606505708025995,1.1186730890710193,9.299538358260254,0.0,0.0
AI4I,37,3,0.992996275886081,0.0742440421635468,1.6407898808981027,0.05,0.8470824269236734,12.51461990362208,0.0065,0.0
AI4I,37,4,1.0,0.07105243447198592,1.4430464812930242,0.05,0.6721324022506128,17.274985235663934,0.02,0.0
AI4I,37,5,1.0,0.06855249100400804,1.3577439811813528,0.05,0.6518105116710043,12.77567416740684,0.0185,0.0
AI4I,37,6,1.0,0.06883742765004847,1.283392208022762,0.05,0.6231610258654278,15.65694386031808,0.003,0.0
AI4I,37,7,1.0,0.06860183878041463,1.2723888453567354,0.05,0.6054757540678113,15.519379739811983,0.0055,0.0
AI4I,37,8,1.0,0.0701676072259354,1.2677481825227925,0.05,0.6319279521175405,12.041923882744088,0.004,0.0
