dataset,seed,method,batch,threshold,test_auc,test_average_precision,n,fail_n,auto_release_rate,inspection_rate,missed_failure_rate,false_accepts,inspected_failure_count,review_fail_capture,domain_auc,shift_flag,mean_density_weight,min_density_weight,median_density_weight,max_density_weight,low_clip_fraction,high_clip_fraction,gate_mode,minimum_failures
SECOM,7,Periodic-Rolling-CP,3,0.10799144385026738,0.6638173302107728,0.12056159393382793,50.0,0.0,0.38,0.62,0.0,0.0,0.0,0.0,0.9942422864668256,1,,,,,,,rolling-calibration,5.0
SECOM,7,Periodic-Rolling-CP,4,0.10799144385026738,0.6638173302107728,0.12056159393382793,50.0,1.0,0.2,0.8,0.0,0.0,1.0,1.0,0.9961292745692149,1,,,,,,,rolling-calibration,5.0
SECOM,7,Periodic-Rolling-CP,5,0.10799144385026738,0.6638173302107728,0.12056159393382793,50.0,1.0,0.04,0.96,0.0,0.0,1.0,1.0,0.9956280626940486,1,,,,,,,rolling-calibration,5.0
SECOM,7,Periodic-Rolling-CP,6,0.10799144385026738,0.6638173302107728,0.12056159393382793,50.0,1.0,0.04,0.96,0.0,0.0,1.0,1.0,0.9921783029786934,1,,,,,,,rolling-calibration,5.0
SECOM,7,Periodic-Rolling-CP,7,0.10799144385026738,0.6638173302107728,0.12056159393382793,50.0,3.0,0.1,0.9,0.3333333333333333,1.0,2.0,0.6666666666666666,0.996775300850898,1,,,,,,,rolling-calibration,5.0
SECOM,7,Periodic-Rolling-CP,8,0.10799144385026738,0.6638173302107728,0.12056159393382793,50.0,5.0,0.06,0.94,0.0,0.0,5.0,1.0,0.9976920461821805,1,,,,,,,rolling-calibration,5.0
SECOM,7,Periodic-Rolling-CP,9,0.10799144385026738,0.6638173302107728,0.12056159393382793,50.0,1.0,0.12,0.88,0.0,0.0,1.0,1.0,0.9971988795518207,1,,,,,,,rolling-calibration,5.0
SECOM,7,Periodic-Rolling-CP,10,0.10799144385026738,0.6638173302107728,0.12056159393382793,50.0,9.0,0.18,0.82,0.1111111111111111,1.0,8.0,0.8888888888888888,0.994539754236337,1,,,,,,,rolling-calibration,5.0
SECOM,7,Periodic-Rolling-CP,11,0.11915201243201246,0.6638173302107728,0.12056159393382793,50.0,3.0,0.26,0.74,0.3333333333333333,1.0,2.0,0.6666666666666666,0.9950061721467849,1,,,,,,,rolling-calibration,5.0
SECOM,7,Periodic-Rolling-CP,12,0.11915201243201246,0.6638173302107728,0.12056159393382793,50.0,3.0,0.42,0.58,0.0,0.0,3.0,1.0,0.9967565973757924,1,,,,,,,rolling-calibration,5.0
SECOM,7,Periodic-Rolling-CP,13,0.11915201243201246,0.6638173302107728,0.12056159393382793,50.0,0.0,0.44,0.56,0.0,0.0,0.0,0.0,0.9927867160218368,1,,,,,,,rolling-calibration,5.0
SECOM,7,Periodic-Rolling-CP,14,0.11915201243201246,0.6638173302107728,0.12056159393382793,50.0,1.0,0.36,0.64,1.0,1.0,0.0,0.0,0.9974937343358397,1,,,,,,,rolling-calibration,5.0
SECOM,7,Periodic-Rolling-CP,15,0.10799144385026738,0.6638173302107728,0.12056159393382793,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9960011970224066,1,,,,,,,rolling-calibration,5.0
SECOM,7,DTCG-Proposed,0,0.0,0.6638173302107728,0.12056159393382793,50.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.9545704279355105,1,,,,,,,first-shift-hold,5.0
SECOM,7,DTCG-Proposed,1,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,1.0,0.06,0.94,0.0,0.0,1.0,1.0,0.9585405155777944,1,,,,,,,shifted-base-calibration,5.0
SECOM,7,DTCG-Proposed,2,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,4.0,0.2,0.8,0.0,0.0,4.0,1.0,0.9779045946736904,1,,,,,,,shifted-base-calibration,5.0
SECOM,7,DTCG-Proposed,3,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,0.0,0.24,0.76,0.0,0.0,0.0,0.0,0.9942422864668256,1,,,,,,,shifted-rolling-calibration,5.0
SECOM,7,DTCG-Proposed,4,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,1.0,0.08,0.92,0.0,0.0,1.0,1.0,0.9961292745692149,1,,,,,,,shifted-rolling-calibration,5.0
SECOM,7,DTCG-Proposed,5,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,1.0,0.02,0.98,0.0,0.0,1.0,1.0,0.9956280626940486,1,,,,,,,shifted-rolling-calibration,5.0
SECOM,7,DTCG-Proposed,6,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,1.0,0.04,0.96,0.0,0.0,1.0,1.0,0.9921783029786934,1,,,,,,,shifted-rolling-calibration,5.0
SECOM,7,DTCG-Proposed,7,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,3.0,0.08,0.92,0.3333333333333333,1.0,2.0,0.6666666666666666,0.996775300850898,1,,,,,,,shifted-rolling-calibration,5.0
SECOM,7,DTCG-Proposed,8,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,5.0,0.04,0.96,0.0,0.0,5.0,1.0,0.9976920461821805,1,,,,,,,shifted-rolling-calibration,5.0
SECOM,7,DTCG-Proposed,9,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,1.0,0.06,0.94,0.0,0.0,1.0,1.0,0.9971988795518207,1,,,,,,,shifted-rolling-calibration,5.0
SECOM,7,DTCG-Proposed,10,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,9.0,0.08,0.92,0.0,0.0,9.0,1.0,0.994539754236337,1,,,,,,,shifted-rolling-calibration,5.0
SECOM,7,DTCG-Proposed,11,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,3.0,0.06,0.94,0.0,0.0,3.0,1.0,0.9950061721467849,1,,,,,,,shifted-rolling-calibration,5.0
SECOM,7,DTCG-Proposed,12,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,3.0,0.14,0.86,0.0,0.0,3.0,1.0,0.9967565973757924,1,,,,,,,shifted-rolling-calibration,5.0
SECOM,7,DTCG-Proposed,13,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,0.0,0.32,0.68,0.0,0.0,0.0,0.0,0.9927867160218368,1,,,,,,,shifted-rolling-calibration,5.0
SECOM,7,DTCG-Proposed,14,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,1.0,0.14,0.86,0.0,0.0,1.0,1.0,0.9974937343358397,1,,,,,,,shifted-rolling-calibration,5.0
SECOM,7,DTCG-Proposed,15,0.10219235075210298,0.6638173302107728,0.12056159393382793,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9960011970224066,1,,,,,,,shifted-rolling-calibration,5.0
SECOM,17,Probability-0.5,0,0.5,0.7056986729117877,0.13079104836351,50.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.9637407005221569,1,,,,,,,,
SECOM,17,Probability-0.5,1,0.5,0.7056986729117877,0.13079104836351,50.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.950356782540196,1,,,,,,,,
SECOM,17,Probability-0.5,2,0.5,0.7056986729117877,0.13079104836351,50.0,4.0,1.0,0.0,1.0,4.0,0.0,0.0,0.9993941999423493,1,,,,,,,,
SECOM,17,Probability-0.5,3,0.5,0.7056986729117877,0.13079104836351,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.992985027868178,1,,,,,,,,
SECOM,17,Probability-0.5,4,0.5,0.7056986729117877,0.13079104836351,50.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.9922237551737112,1,,,,,,,,
SECOM,17,Probability-0.5,5,0.5,0.7056986729117877,0.13079104836351,50.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.9939393864380001,1,,,,,,,,
SECOM,17,Probability-0.5,6,0.5,0.7056986729117877,0.13079104836351,50.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.9927947612666433,1,,,,,,,,
SECOM,17,Probability-0.5,7,0.5,0.7056986729117877,0.13079104836351,50.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,0.994711317362766,1,,,,,,,,
SECOM,17,Probability-0.5,8,0.5,0.7056986729117877,0.13079104836351,50.0,5.0,1.0,0.0,1.0,5.0,0.0,0.0,0.995882691254035,1,,,,,,,,
SECOM,17,Probability-0.5,9,0.5,0.7056986729117877,0.13079104836351,50.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.9946926138876604,1,,,,,,,,
SECOM,17,Probability-0.5,10,0.5,0.7056986729117877,0.13079104836351,50.0,9.0,1.0,0.0,1.0,9.0,0.0,0.0,0.9921863482234999,1,,,,,,,,
SECOM,17,Probability-0.5,11,0.5,0.7056986729117877,0.13079104836351,50.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,0.9941403112698338,1,,,,,,,,
SECOM,17,Probability-0.5,12,0.5,0.7056986729117877,0.13079104836351,50.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,0.9914679147385584,1,,,,,,,,
SECOM,17,Probability-0.5,13,0.5,0.7056986729117877,0.13079104836351,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9808344390387734,1,,,,,,,,
SECOM,17,Probability-0.5,14,0.5,0.7056986729117877,0.13079104836351,50.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.9900927967416345,1,,,,,,,,
SECOM,17,Probability-0.5,15,0.5,0.7056986729117877,0.13079104836351,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9950061721467849,1,,,,,,,,
SECOM,17,Global-CP,0,0.21614904154668846,0.7056986729117877,0.13079104836351,50.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.9637407005221569,1,,,,,,,,
SECOM,17,Global-CP,1,0.21614904154668846,0.7056986729117877,0.13079104836351,50.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.950356782540196,1,,,,,,,,
SECOM,17,Global-CP,2,0.21614904154668846,0.7056986729117877,0.13079104836351,50.0,4.0,0.98,0.02,0.75,3.0,1.0,0.25,0.9993941999423493,1,,,,,,,,
