dataset,seed,method,batch,threshold,test_auc,test_average_precision,n,fail_n,auto_release_rate,inspection_rate,missed_failure_rate,false_accepts,inspected_failure_count,review_fail_capture,domain_auc,shift_flag,gate_mode,minimum_failures
SECOM,17,DTCG-no-rolling,10,0.11768610474492824,0.7056986729117877,0.13079104836351,50.0,9.0,0.18,0.82,0.1111111111111111,1.0,8.0,0.8888888888888888,0.9921863482234999,1,shifted-base-calibration,5
SECOM,17,DTCG-no-rolling,11,0.11768610474492824,0.7056986729117877,0.13079104836351,50.0,3.0,0.16,0.84,0.0,0.0,3.0,1.0,0.9941403112698338,1,shifted-base-calibration,5
SECOM,17,DTCG-no-rolling,12,0.11768610474492824,0.7056986729117877,0.13079104836351,50.0,3.0,0.32,0.68,0.0,0.0,3.0,1.0,0.9914679147385584,1,shifted-base-calibration,5
SECOM,17,DTCG-no-rolling,13,0.11768610474492824,0.7056986729117877,0.13079104836351,50.0,0.0,0.42,0.58,0.0,0.0,0.0,0.0,0.9808344390387734,1,shifted-base-calibration,5
SECOM,17,DTCG-no-rolling,14,0.11768610474492824,0.7056986729117877,0.13079104836351,50.0,1.0,0.26,0.74,0.0,0.0,1.0,1.0,0.9900927967416345,1,shifted-base-calibration,5
SECOM,17,DTCG-no-rolling,15,0.11768610474492824,0.7056986729117877,0.13079104836351,17.0,0.0,0.23529411764705882,0.7647058823529411,0.0,0.0,0.0,0.0,0.9950061721467849,1,shifted-base-calibration,5
SECOM,17,DTCG-always-roll,0,0.11768610474492824,0.7056986729117877,0.13079104836351,50.0,2.0,0.24,0.76,0.0,0.0,2.0,1.0,0.9637407005221569,1,stable,5
SECOM,17,DTCG-always-roll,1,0.11768610474492824,0.7056986729117877,0.13079104836351,50.0,1.0,0.16,0.84,0.0,0.0,1.0,1.0,0.950356782540196,1,stable,5
SECOM,17,DTCG-always-roll,2,0.11768610474492824,0.7056986729117877,0.13079104836351,50.0,4.0,0.42,0.58,0.0,0.0,4.0,1.0,0.9993941999423493,1,stable,5
SECOM,17,DTCG-always-roll,3,0.12750631016042768,0.7056986729117877,0.13079104836351,50.0,0.0,0.62,0.38,0.0,0.0,0.0,0.0,0.992985027868178,1,rolling-calibration,5
SECOM,17,DTCG-always-roll,4,0.12750631016042768,0.7056986729117877,0.13079104836351,50.0,1.0,0.32,0.68,0.0,0.0,1.0,1.0,0.9922237551737112,1,rolling-calibration,5
SECOM,17,DTCG-always-roll,5,0.12750631016042768,0.7056986729117877,0.13079104836351,50.0,1.0,0.06,0.94,0.0,0.0,1.0,1.0,0.9939393864380001,1,rolling-calibration,5
SECOM,17,DTCG-always-roll,6,0.12750631016042768,0.7056986729117877,0.13079104836351,50.0,1.0,0.16,0.84,0.0,0.0,1.0,1.0,0.9927947612666433,1,rolling-calibration,5
SECOM,17,DTCG-always-roll,7,0.13387032891429174,0.7056986729117877,0.13079104836351,50.0,3.0,0.32,0.68,0.3333333333333333,1.0,2.0,0.6666666666666666,0.994711317362766,1,rolling-calibration,5
SECOM,17,DTCG-always-roll,8,0.13387032891429174,0.7056986729117877,0.13079104836351,50.0,5.0,0.3,0.7,0.0,0.0,5.0,1.0,0.995882691254035,1,rolling-calibration,5
SECOM,17,DTCG-always-roll,9,0.13387032891429174,0.7056986729117877,0.13079104836351,50.0,1.0,0.36,0.64,0.0,0.0,1.0,1.0,0.9946926138876604,1,rolling-calibration,5
SECOM,17,DTCG-always-roll,10,0.13387032891429174,0.7056986729117877,0.13079104836351,50.0,9.0,0.38,0.62,0.3333333333333333,3.0,6.0,0.6666666666666666,0.9921863482234999,1,rolling-calibration,5
SECOM,17,DTCG-always-roll,11,0.13786357172239516,0.7056986729117877,0.13079104836351,50.0,3.0,0.34,0.66,0.0,0.0,3.0,1.0,0.9941403112698338,1,rolling-calibration,5
SECOM,17,DTCG-always-roll,12,0.13786357172239516,0.7056986729117877,0.13079104836351,50.0,3.0,0.62,0.38,0.0,0.0,3.0,1.0,0.9914679147385584,1,rolling-calibration,5
SECOM,17,DTCG-always-roll,13,0.13786357172239516,0.7056986729117877,0.13079104836351,50.0,0.0,0.76,0.24,0.0,0.0,0.0,0.0,0.9808344390387734,1,rolling-calibration,5
SECOM,17,DTCG-always-roll,14,0.13786357172239516,0.7056986729117877,0.13079104836351,50.0,1.0,0.54,0.46,0.0,0.0,1.0,1.0,0.9900927967416345,1,rolling-calibration,5
SECOM,17,DTCG-always-roll,15,0.13786357172239516,0.7056986729117877,0.13079104836351,17.0,0.0,0.35294117647058826,0.6470588235294118,0.0,0.0,0.0,0.0,0.9950061721467849,1,rolling-calibration,5
SECOM,17,DTCG-min-failures-1,0,0.0,0.7056986729117877,0.13079104836351,50.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.9637407005221569,1,first-shift-hold,1
