dataset,seed,batch,start_index,end_index,n,failure_count,failure_rate,domain_auc,shift_flag
AI4I,17,20,9000,9049,50,4,0.08,1.0,1
AI4I,17,21,9050,9099,50,1,0.02,1.0,1
AI4I,17,22,9100,9149,50,0,0.0,1.0,1
AI4I,17,23,9150,9199,50,2,0.04,1.0,1
AI4I,17,24,9200,9249,50,0,0.0,1.0,1
AI4I,17,25,9250,9299,50,0,0.0,1.0,1
AI4I,17,26,9300,9349,50,0,0.0,1.0,1
AI4I,17,27,9350,9399,50,0,0.0,1.0,1
AI4I,17,28,9400,9449,50,1,0.02,1.0,1
AI4I,17,29,9450,9499,50,1,0.02,0.9999687656171914,1
AI4I,17,30,9500,9549,50,0,0.0,0.996723297510404,1
AI4I,17,31,9550,9599,50,1,0.02,0.9929268109718326,1
AI4I,17,32,9600,9649,50,1,0.02,1.0,1
AI4I,17,33,9650,9699,50,6,0.12,1.0,1
AI4I,17,34,9700,9749,50,0,0.0,1.0,1
AI4I,17,35,9750,9799,50,2,0.04,1.0,1
AI4I,17,36,9800,9849,50,2,0.04,1.0,1
AI4I,17,37,9850,9899,50,0,0.0,1.0,1
AI4I,17,38,9900,9949,50,0,0.0,1.0,1
AI4I,17,39,9950,9999,50,1,0.02,1.0,1
AI4I,27,0,8000,8049,50,1,0.02,0.9303690375709514,1
AI4I,27,1,8050,8099,50,0,0.0,0.9053447408516196,1
AI4I,27,2,8100,8149,50,1,0.02,0.9281729255492374,1
AI4I,27,3,8150,8199,50,3,0.06,0.9930607033526163,1
AI4I,27,4,8200,8249,50,1,0.02,1.0,1
AI4I,27,5,8250,8299,50,0,0.0,1.0,1
AI4I,27,6,8300,8349,50,1,0.02,1.0,1
AI4I,27,7,8350,8399,50,2,0.04,1.0,1
AI4I,27,8,8400,8449,50,1,0.02,1.0,1
AI4I,27,9,8450,8499,50,0,0.0,1.0,1
AI4I,27,10,8500,8549,50,1,0.02,1.0,1
AI4I,27,11,8550,8599,50,1,0.02,1.0,1
AI4I,27,12,8600,8649,50,2,0.04,1.0,1
AI4I,27,13,8650,8699,50,1,0.02,1.0,1
AI4I,27,14,8700,8749,50,0,0.0,1.0,1
AI4I,27,15,8750,8799,50,0,0.0,1.0,1
AI4I,27,16,8800,8849,50,1,0.02,1.0,1
AI4I,27,17,8850,8899,50,0,0.0,1.0,1
AI4I,27,18,8900,8949,50,1,0.02,1.0,1
AI4I,27,19,8950,8999,50,0,0.0,1.0,1
AI4I,27,20,9000,9049,50,4,0.08,1.0,1
AI4I,27,21,9050,9099,50,1,0.02,1.0,1
AI4I,27,22,9100,9149,50,0,0.0,1.0,1
AI4I,27,23,9150,9199,50,2,0.04,1.0,1
AI4I,27,24,9200,9249,50,0,0.0,1.0,1
AI4I,27,25,9250,9299,50,0,0.0,1.0,1
AI4I,27,26,9300,9349,50,0,0.0,1.0,1
AI4I,27,27,9350,9399,50,0,0.0,1.0,1
AI4I,27,28,9400,9449,50,1,0.02,1.0,1
AI4I,27,29,9450,9499,50,1,0.02,0.9999687656171914,1
AI4I,27,30,9500,9549,50,0,0.0,0.9970879689990723,1
AI4I,27,31,9550,9599,50,1,0.02,0.9925268939015742,1
AI4I,27,32,9600,9649,50,1,0.02,1.0,1
AI4I,27,33,9650,9699,50,6,0.12,1.0,1
AI4I,27,34,9700,9749,50,0,0.0,1.0,1
AI4I,27,35,9750,9799,50,2,0.04,1.0,1
AI4I,27,36,9800,9849,50,2,0.04,1.0,1
AI4I,27,37,9850,9899,50,0,0.0,1.0,1
AI4I,27,38,9900,9949,50,0,0.0,1.0,1
AI4I,27,39,9950,9999,50,1,0.02,1.0,1
AI4I,37,0,8000,8049,50,1,0.02,0.9326966915323472,1
AI4I,37,1,8050,8099,50,0,0.0,0.8766365194456296,1
AI4I,37,2,8100,8149,50,1,0.02,0.9340422473359681,1
AI4I,37,3,8150,8199,50,3,0.06,0.992996275886081,1
AI4I,37,4,8200,8249,50,1,0.02,1.0,1
AI4I,37,5,8250,8299,50,0,0.0,1.0,1
AI4I,37,6,8300,8349,50,1,0.02,1.0,1
AI4I,37,7,8350,8399,50,2,0.04,1.0,1
AI4I,37,8,8400,8449,50,1,0.02,1.0,1
AI4I,37,9,8450,8499,50,0,0.0,1.0,1
AI4I,37,10,8500,8549,50,1,0.02,1.0,1
AI4I,37,11,8550,8599,50,1,0.02,1.0,1
AI4I,37,12,8600,8649,50,2,0.04,1.0,1
AI4I,37,13,8650,8699,50,1,0.02,1.0,1
AI4I,37,14,8700,8749,50,0,0.0,1.0,1
AI4I,37,15,8750,8799,50,0,0.0,1.0,1
AI4I,37,16,8800,8849,50,1,0.02,1.0,1
AI4I,37,17,8850,8899,50,0,0.0,1.0,1
AI4I,37,18,8900,8949,50,1,0.02,1.0,1
AI4I,37,19,8950,8999,50,0,0.0,1.0,1
AI4I,37,20,9000,9049,50,4,0.08,1.0,1
AI4I,37,21,9050,9099,50,1,0.02,1.0,1
AI4I,37,22,9100,9149,50,0,0.0,1.0,1
AI4I,37,23,9150,9199,50,2,0.04,1.0,1
AI4I,37,24,9200,9249,50,0,0.0,1.0,1
AI4I,37,25,9250,9299,50,0,0.0,1.0,1
AI4I,37,26,9300,9349,50,0,0.0,1.0,1
AI4I,37,27,9350,9399,50,0,0.0,1.0,1
AI4I,37,28,9400,9449,50,1,0.02,1.0,1
AI4I,37,29,9450,9499,50,1,0.02,0.9999687656171914,1
AI4I,37,30,9500,9549,50,0,0.0,0.9964701616247167,1
AI4I,37,31,9550,9599,50,1,0.02,0.993503496661844,1
AI4I,37,32,9600,9649,50,1,0.02,1.0,1
AI4I,37,33,9650,9699,50,6,0.12,1.0,1
AI4I,37,34,9700,9749,50,0,0.0,1.0,1
AI4I,37,35,9750,9799,50,2,0.04,1.0,1
AI4I,37,36,9800,9849,50,2,0.04,1.0,1
AI4I,37,37,9850,9899,50,0,0.0,1.0,1
AI4I,37,38,9900,9949,50,0,0.0,1.0,1
AI4I,37,39,9950,9999,50,1,0.02,1.0,1
AI4I,47,0,8000,8049,50,1,0.02,0.9266083869829792,1
AI4I,47,1,8050,8099,50,0,0.0,0.9037128947008566,1
AI4I,47,2,8100,8149,50,1,0.02,0.9414660824507372,1
AI4I,47,3,8150,8199,50,3,0.06,0.9937390097567361,1
AI4I,47,4,8200,8249,50,1,0.02,1.0,1
AI4I,47,5,8250,8299,50,0,0.0,1.0,1
AI4I,47,6,8300,8349,50,1,0.02,1.0,1
AI4I,47,7,8350,8399,50,2,0.04,1.0,1
AI4I,47,8,8400,8449,50,1,0.02,1.0,1
AI4I,47,9,8450,8499,50,0,0.0,1.0,1
AI4I,47,10,8500,8549,50,1,0.02,1.0,1
AI4I,47,11,8550,8599,50,1,0.02,1.0,1
AI4I,47,12,8600,8649,50,2,0.04,1.0,1
AI4I,47,13,8650,8699,50,1,0.02,1.0,1
AI4I,47,14,8700,8749,50,0,0.0,1.0,1
AI4I,47,15,8750,8799,50,0,0.0,1.0,1
AI4I,47,16,8800,8849,50,1,0.02,1.0,1
AI4I,47,17,8850,8899,50,0,0.0,1.0,1
AI4I,47,18,8900,8949,50,1,0.02,1.0,1
AI4I,47,19,8950,8999,50,0,0.0,1.0,1
AI4I,47,20,9000,9049,50,4,0.08,1.0,1
AI4I,47,21,9050,9099,50,1,0.02,1.0,1
AI4I,47,22,9100,9149,50,0,0.0,1.0,1
AI4I,47,23,9150,9199,50,2,0.04,1.0,1
AI4I,47,24,9200,9249,50,0,0.0,1.0,1
AI4I,47,25,9250,9299,50,0,0.0,1.0,1
AI4I,47,26,9300,9349,50,0,0.0,1.0,1
AI4I,47,27,9350,9399,50,0,0.0,1.0,1
AI4I,47,28,9400,9449,50,1,0.02,1.0,1
AI4I,47,29,9450,9499,50,1,0.02,1.0,1
AI4I,47,30,9500,9549,50,0,0.0,0.9969751147213887,1
AI4I,47,31,9550,9599,50,1,0.02,0.9923277905738881,1
AI4I,47,32,9600,9649,50,1,0.02,1.0,1
AI4I,47,33,9650,9699,50,6,0.12,1.0,1
AI4I,47,34,9700,9749,50,0,0.0,1.0,1
AI4I,47,35,9750,9799,50,2,0.04,1.0,1
AI4I,47,36,9800,9849,50,2,0.04,1.0,1
AI4I,47,37,9850,9899,50,0,0.0,1.0,1
AI4I,47,38,9900,9949,50,0,0.0,1.0,1
AI4I,47,39,9950,9999,50,1,0.02,1.0,1
